x,Sample1,Sample2,Sample3,Sample4
478.15,5.32E-06,7.66E-07,9.60E-07,2.18E-06
478.225,1.11E-06,5.57E-06,1.14E-06,3.07E-06
478.3,4.09E-08,2.95E-06,5.15E-07,1.87E-06
478.375,4.98E-07,4.18E-06,6.13E-07,7.35E-07
478.45,2.86E-06,3.78E-06,5.87E-07,1.49E-06
478.525,3.60E-06,3.40E-07,0,3.11E-06
478.6,1.58E-07,0,0,3.20E-06
478.675,0,0,5.22E-07,3.09E-06
478.75,0,2.43E-06,1.40E-06,2.37E-06
478.825,9.14E-07,8.92E-06,1.66E-06,1.60E-06
478.9,3.18E-06,9.38E-06,1.12E-06,1.62E-06
478.975,3.17E-06,3.25E-06,1.74E-06,1.58E-06
479.05,2.59E-06,1.31E-07,1.02E-06,1.38E-06
479.125,3.98E-06,0,9.05E-07,1.44E-06
479.2,2.24E-07,0,1.45E-06,1.38E-06
479.275,9.27E-07,9.88E-07,8.94E-07,1.82E-06
479.35,4.31E-06,4.91E-06,2.52E-06,1.03E-06
479.425,1.85E-06,2.40E-06,1.92E-06,1.52E-06
479.5,9.39E-08,1.43E-07,1.22E-06,1.27E-06
479.575,0,0,1.11E-06,1.32E-06
479.65,2.74E-08,2.63E-06,1.93E-06,1.48E-06
479.725,1.62E-06,3.93E-06,3.27E-06,6.56E-07
479.8,4.23E-06,1.43E-06,2.67E-06,4.35E-07
479.875,1.09E-06,0,1.91E-06,1.22E-06
479.95,1.35E-06,1.63E-06,1.14E-06,1.43E-06
480.025,1.08E-05,7.53E-06,1.45E-06,9.46E-07
480.1,8.75E-06,6.95E-06,1.19E-06,1.11E-06
480.175,3.46E-06,1.36E-07,1.20E-06,1.81E-06
480.25,6.25E-06,1.33E-06,8.77E-07,2.20E-06
480.325,4.04E-06,0,7.65E-07,2.31E-06
480.4,2.34E-06,0,1.64E-06,2.66E-06
480.475,3.33E-06,0,5.53E-07,1.52E-06
480.55,2.44E-06,0,1.28E-07,6.85E-07
480.625,3.30E-06,0,6.12E-07,1.55E-06
480.7,3.23E-06,0,1.13E-06,2.12E-06
480.775,2.55E-06,0,7.87E-07,1.75E-06
480.85,3.38E-06,1.64E-06,3.64E-07,1.98E-06
480.925,2.28E-06,4.80E-06,1.25E-06,3.11E-06
481,4.16E-06,1.55E-06,9.13E-07,3.32E-06
481.075,2.34E-06,0,3.98E-07,2.97E-06
